"Observation Report",

"Score Definition"
"5 = Excellent","4 = Good","3 = Neutral","2 = Need To Improved","1 = Not Observed"

SL,"Branch Name","Project Name","Entry Date","Data Submission Date","Activity Name",Year,Month,"Start Date","Start Time","End Date","End Time",Division,District,Upazila,Union,"Event Location","Event Village","Event Ward","Preparatory Work","Time management of the event was","Participants attention","Logistical arrangements","Relevancy of delivery of messages","Participants Feedback","Event Note","Submitted By"
516,Jhikargasa,DCBTN-CIFF,,02-11-2021,"Interactive Popular Theatre Show (IPT)",0000,November,02-11-2021,08:30:00,02-11-2021,09:05:00,Khulna,Jashore,Jhikargacha,Panisara,"Alia Para mahabub bari",Kauriya,8,4,4,4,4,4,4,,
517,Chaugaschha,DCBTN-CIFF,,02-11-2021,"School Quiz",0000,October,26-10-2021,11:00:39,26-10-2021,12:00:39,Khulna,Jashore,Chougachha,Hakimpur,"Hakimpur High School",Hakimpur,08,5,5,5,5,5,5,,
518,Chaugaschha,DCBTN-CIFF,,02-11-2021,"School Quiz",0000,October,24-10-2021,12:00:37,24-10-2021,13:04:37,Khulna,Jashore,Chougachha,Narayanpur,"Chadpara HIgh School",Chadpara,04,5,5,5,5,5,5,,
519,Chaugaschha,DCBTN-CIFF,,02-11-2021,"School Quiz",0000,October,21-10-2021,12:00:49,21-10-2021,01:17:49,Khulna,Jashore,Chougachha,Dhuliani,"Dhuliani High School",Dhuliani,03,5,5,5,5,5,5,,
520,Chaugaschha,DCBTN-CIFF,,02-11-2021,"School Quiz",0000,October,11-10-2021,03:00:45,11-10-2021,04:10:45,Khulna,Jashore,Chougachha,Chougachha,"Koyarpara Govt. Primary School",Koyarpara,03,5,5,5,5,5,5,,
521,Chaugaschha,DCBTN-CIFF,,02-11-2021,"School Quiz",0000,October,11-10-2021,13:00:32,11-10-2021,14:08:32,Khulna,Jashore,Chougachha,Patibila,"Patibila Primary School",Patibila,01,5,5,5,5,5,5,,
522,Chaugaschha,DCBTN-CIFF,,02-11-2021,"School Quiz",0000,September,15-09-2021,11:00:00,15-09-2021,12:00:00,Khulna,Jashore,Chougachha,Fulsara,"Charabari High School",Charabari,03,5,5,5,5,5,5,good,
523,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,14:35:19,28-10-2021,15:00:19,Khulna,Jashore,Chougachha,Patibila,"Robiul islam ar bari majer para ","Soto Niamotpur ",,4,4,3,3,3,3,,
524,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,14:00:14,28-10-2021,14:35:14,Khulna,Jashore,Chougachha,Patibila,"Robiul ar bari majer para","Soto Niamotpur ",,4,4,4,4,4,4,,
525,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,13:05:34,28-10-2021,13:30:34,Khulna,Jashore,Chougachha,Patibila,"TAHAJJEL AR BARI BISHAS PARA ",Patibila,,3,3,4,4,3,3,,
526,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,12:30:03,28-10-2021,13:05:03,Khulna,Jashore,Chougachha,Patibila,"ATHAJJEL AR BARI BISHAS PARA ",Patibila,,4,4,3,3,3,3,,
527,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,11:45:35,28-10-2021,12:10:35,Khulna,Jashore,Chougachha,Patibila,"Tohful ar bari uttor para ",Patibila,,4,4,4,4,4,4,g,
528,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,11:10:15,28-10-2021,11:45:15,Khulna,Jashore,Chougachha,Patibila,"Tohful ar bari Uttor para ",Patibila,,4,4,4,4,4,4,,
529,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,10:25:12,28-10-2021,10:50:12,Khulna,Jashore,Chougachha,Patibila,"Rulamin ar bari south para ",Patibila,,4,4,4,4,4,4,g,
530,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,09:50:16,28-10-2021,10:25:16,Khulna,Jashore,Chougachha,Patibila,"Rulamin ar bari South para ",Patibila,,4,4,4,4,4,4,,
531,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,09:05:48,28-10-2021,09:30:48,Khulna,Jashore,Chougachha,Jagadishpur,"Abdur Rasid ar bari majer para ",Jagadishpur,1,4,4,4,4,4,4,,
532,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,08:30:06,28-10-2021,09:05:06,Khulna,Jashore,Chougachha,Jagadishpur,"Abdur rasid ar bari majer para ","Jagadishpur ",1,4,4,4,4,4,4,,
533,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,31-10-2021,16:15:02,31-10-2021,16:40:02,Khulna,Jashore,Chougachha,Jagadishpur,"Fulsardi ar bari moddu para ",Sharafrajpur,2,4,4,4,4,4,4,,
534,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,31-10-2021,15:40:02,31-10-2021,16:15:02,Khulna,Jashore,Chougachha,Jagadishpur,"Fulsardi ae bari maddu para ",Sharafrajpur,2,4,4,4,4,4,4,,
535,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,31-10-2021,15:05:50,31-10-2021,15:30:50,Khulna,Jashore,Chougachha,Jagadishpur,"Saiful ar bari math para ",Kandi,2,4,4,4,4,4,4,,
536,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,31-10-2021,14:30:26,31-10-2021,15:05:26,Khulna,Jashore,Chougachha,Jagadishpur,"Saiful ar bari Math para ",Kandi,2,4,4,4,4,4,4,,
537,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,31-10-2021,11:55:16,31-10-2021,12:20:16,Khulna,Jashore,Chougachha,Jagadishpur,"Shahajahan kobir ar bari porbo para ","Jagadishpur ",1,4,4,4,4,4,4,g,
538,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,31-10-2021,11:20:57,31-10-2021,11:55:57,Khulna,Jashore,Chougachha,Jagadishpur,"Shahajahan kobir ar bari porbo para ","Jagadishpur ",1,4,4,4,4,4,4,,
539,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,31-10-2021,10:45:45,31-10-2021,11:10:45,Khulna,Jashore,Chougachha,Jagadishpur,"Kalpona rani mohila member mejerpara ","Jagadishpur ",6,4,4,4,4,4,4,,
540,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,31-10-2021,10:10:56,31-10-2021,10:45:56,Khulna,Jashore,Chougachha,Jagadishpur,"Kalpona rani majer para Mohila member ","Jagadishpur ",6,4,4,4,4,4,4,,
541,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,31-10-2021,09:35:23,31-10-2021,10:00:23,Khulna,Jashore,Chougachha,Patibila,"Miloan ar bari rishi para ",Bishonathpur,3,4,4,4,4,4,4,,
542,Chaugaschha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,31-10-2021,09:00:35,31-10-2021,09:35:35,Khulna,Jashore,Chougachha,Patibila,"Milon ar bari Rishi para ",Bishonathpur,3,4,4,4,4,4,4,,
543,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,04:30:00,28-10-2021,04:50:00,Khulna,Jashore,Sharsha,Bahadurpur,,"Dubpara Pocempara ",3,4,4,4,4,4,4,N/A,
544,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,04:00:00,28-10-2021,04:30:00,Khulna,Jashore,Sharsha,Bahadurpur,,"Dubpara Pocempara ",3,4,4,4,4,4,4,N/A,
545,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,03:30:00,28-10-2021,03:50:00,Khulna,Jashore,Sharsha,Bahadurpur,,"Dubpara jamtola",3,4,4,4,4,4,4,N/A,
546,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,03:00:00,28-10-2021,03:30:00,Khulna,Jashore,Sharsha,Bahadurpur,,"Duppara jamtola",3,4,4,4,4,4,4,N/A,
547,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,11:30:00,28-10-2021,11:50:00,Khulna,Jashore,Sharsha,Bahadurpur,,"Dubpara Probopara",3,4,4,4,4,4,4,N/A,
548,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,11:00:00,28-10-2021,11:30:00,Khulna,Jashore,Sharsha,Bahadurpur,,"Dubpara Probopara",3,4,4,4,4,4,4,N/A,
549,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,10:30:00,28-10-2021,10:50:00,Khulna,Jashore,Sharsha,Bahadurpur,,"Notadia Pocempara ",3,4,4,4,4,4,4,N/A,
550,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,10:00:00,28-10-2021,10:30:00,Khulna,Jashore,Sharsha,Bahadurpur,,"Notadia Pocempara ",3,4,4,4,4,4,4,N/A,
551,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-08-2021,09:30:00,28-10-2021,09:50:00,Khulna,Jashore,Sharsha,Bahadurpur,,"Notadia moddopara",3,4,4,4,4,4,4,N/A,
552,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,08:30:00,28-10-2021,09:00:00,Khulna,Jashore,Sharsha,Bahadurpur,,"Notadha moddopara",3,4,4,4,4,4,4,N/A,
553,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,04:30:00,28-10-2021,04:50:00,Khulna,Jashore,Sharsha,Sharsha,,"Sorupdha Schoolpara",6,4,4,4,4,4,3,N/A,
554,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,04:00:00,28-10-2021,04:30:00,Khulna,Jashore,Sharsha,Sharsha,,"Sorupdha Schoolpara",6,4,4,4,4,4,4,N/A,
555,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,03:30:00,28-10-2021,03:50:00,Khulna,Jashore,Sharsha,Sharsha,,"Sorupdha masterpara",6,4,4,4,4,4,4,N/A,
556,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,03:00:00,28-10-2021,03:30:00,Khulna,Jashore,Sharsha,Sharsha,,"Sorupdha masterpara",6,4,4,4,4,4,4,N/A,
557,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,11:30:00,28-10-2021,11:50:00,Khulna,Jashore,Sharsha,Sharsha,,"Sharsha Kazipara",4,4,4,4,4,4,4,N/A,
558,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,11:00:00,28-10-2021,11:30:00,Khulna,Jashore,Sharsha,Sharsha,,"Sharsha Kazipara",4,4,4,4,4,4,4,N/A,
559,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,10:30:00,28-10-2021,10:50:00,Khulna,Jashore,Sharsha,Sharsha,,"Sharsha Moddopara",4,4,4,4,4,4,4,N/A,
560,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,10:00:00,28-10-2021,10:30:00,Khulna,Jashore,Sharsha,Sharsha,,"Sharsha Moddopara",4,4,4,4,4,4,4,N/A,
561,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,28-10-2021,09:00:00,28-10-2021,09:20:00,Khulna,Jashore,Sharsha,Sharsha,,"Sharsha probopara",4,4,4,4,4,4,4,N/A,
562,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,28-10-2021,08:30:00,28-10-2021,09:00:00,Khulna,Jashore,Sharsha,Sharsha,,"Sharsha probopara",4,4,4,4,4,4,4,N/A,
563,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,27-10-2021,04:30:00,27-10-2021,04:50:00,Khulna,Jashore,Sharsha,Sharsha,,"Panthapara matepara",3,4,4,4,4,4,4,N/A,
564,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,27-10-2021,04:00:00,27-10-2021,04:30:00,Khulna,Jashore,Sharsha,Sharsha,,"Panthapara matepara",3,4,4,4,4,4,4,N/A,
565,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,27-10-2021,03:30:00,27-10-2021,03:50:00,Khulna,Jashore,Sharsha,Sharsha,,"Panthapara Clobpara",3,4,4,4,4,4,4,N/A,
566,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,27-10-2021,03:00:00,27-10-2021,03:30:00,Khulna,Jashore,Sharsha,Sharsha,,"Panthapara Clobpara",3,4,4,4,4,4,4,N/A,
567,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,27-10-2021,11:30:00,27-10-2021,11:50:00,Khulna,Jashore,Sharsha,Sharsha,,"Panthapara majerpara",3,4,4,4,4,4,4,N/A,
568,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,27-10-2021,11:00:00,27-10-2021,11:30:00,Khulna,Jashore,Sharsha,Sharsha,,"Panthapara majerpara",3,4,4,4,4,4,4,N/A,
569,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,27-10-2021,10:30:00,27-10-2021,10:50:00,Khulna,Jashore,Sharsha,Sharsha,,"Panthapara Probo",3,4,4,4,4,4,4,N/A,
570,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,27-10-2021,10:00:00,27-10-2021,10:30:00,Khulna,Jashore,Sharsha,Sharsha,,"Panthapara Probo",3,4,4,4,4,4,4,N/A,
571,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,27-10-2021,09:00:00,27-10-2021,09:20:00,Khulna,Jashore,Sharsha,Sharsha,,"Sharsha jalepara",4,4,4,4,4,4,4,N/A,
572,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,27-10-2021,08:30:00,27-10-2021,09:00:00,Khulna,Jashore,Sharsha,Sharsha,,"Sharsha jalepara",4,4,4,4,4,4,4,N/A,
573,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,26-10-2021,04:00:00,26-10-2021,04:30:00,Khulna,,,,,"Sharsha Takerpara",4,4,4,4,4,4,4,N/A,
574,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,26-10-2021,04:30:00,26-10-2021,04:50:00,Khulna,Jashore,Sharsha,Sharsha,,"Sharsha Takerpara",4,4,4,4,4,4,4,N/A,
575,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,26-10-2021,04:00:00,26-10-2021,04:30:00,Khulna,Jashore,Sharsha,Sharsha,,"Sharsha Takerpara",4,4,4,4,4,4,4,N/A,
576,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,26-10-2021,03:30:00,26-10-2021,03:50:00,Khulna,Jashore,Sharsha,Sharsha,,"Sharsha Schoolpara",4,4,4,4,4,4,4,N/A,
577,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,26-10-2021,03:00:00,26-10-2021,03:30:00,Khulna,Jashore,Sharsha,,,"Sharsha Schoolpara",4,4,4,4,4,4,4,N/A,
578,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,26-10-2021,11:30:00,26-10-2021,11:50:00,Khulna,Jashore,Sharsha,Sharsha,,"Samlagasi Majerpara",3,4,4,4,4,4,4,N/A,
579,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,26-10-2021,11:00:00,26-10-2021,11:30:00,Khulna,Jashore,Sharsha,Sharsha,,"Samlagasi Majerpara",3,4,4,4,4,4,4,N/A,
580,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,26-10-2021,10:30:00,26-10-2021,10:50:00,Khulna,Jashore,Sharsha,Sharsha,,"Samlagasi Matepara",3,4,4,4,4,4,4,N/A,
581,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,26-10-2021,10:00:00,26-10-2021,10:30:00,Khulna,Jashore,Sharsha,Sharsha,,"Samlagasi Matepara",3,4,4,4,4,4,4,N/A,
582,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,26-10-2021,09:00:00,26-10-2021,09:20:00,Khulna,Jashore,Sharsha,Sharsha,,"Samlagasi Collegepara",3,4,4,4,4,4,4,N/A,
583,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,26-10-2021,08:30:00,26-10-2021,09:00:00,Khulna,Jashore,Sharsha,Sharsha,,"Samlagasi Collegepara",3,4,4,4,4,4,4,N/A,
584,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,25-10-2021,04:30:00,25-10-2021,04:50:00,Khulna,Jashore,Sharsha,Ulshi,,"Doldho Dokinpara",7,4,4,4,4,4,4,N/A,
585,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,25-10-2021,04:00:00,25-10-2021,04:30:00,Khulna,Jashore,Sharsha,Ulshi,,"Doldho Dokinpara",7,4,4,4,4,4,4,N/A,
586,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,25-10-2021,03:30:00,25-10-2021,03:50:00,Khulna,Jashore,Sharsha,Ulshi,,"Matipukur Schoolpara",6,4,4,4,4,4,4,,
587,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,25-10-2021,03:00:00,25-10-2021,03:30:00,Khulna,Jashore,Sharsha,Ulshi,,"Matipukur Schoolpara",6,4,4,4,4,4,4,N/A,
588,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,25-10-2021,11:30:00,25-10-2021,11:50:00,Khulna,Jashore,Sharsha,Ulshi,,"Jirangasa Biwaspara",4,4,4,4,4,4,4,N/A,
589,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,25-10-2021,11:00:00,25-10-2021,11:30:00,Khulna,Jashore,Sharsha,Ulshi,,"Jirangasa Biwaspara",4,4,4,4,4,4,4,N/A,
590,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,25-10-2021,10:30:00,25-10-2021,10:50:00,Khulna,Jashore,Sharsha,Ulshi,,"Kasiadanga Pocempara ",2,4,4,4,4,4,4,N/A,
591,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,25-10-2021,10:00:00,25-10-2021,10:30:00,Khulna,Jashore,Sharsha,Ulshi,,"Kasiadanga Pocempara ",2,4,4,4,4,4,4,N/A,
592,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,25-10-2021,09:00:00,25-10-2021,09:20:00,Khulna,Jashore,Sharsha,Ulshi,,"Kasiadanga mollapara",2,4,4,4,4,4,4,N/A,
593,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,25-10-2021,08:30:00,25-10-2021,09:00:00,Khulna,Jashore,Sharsha,Ulshi,,"Kasiadanga mollapara",2,4,4,4,4,4,4,N/A,
594,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,24-10-2021,04:30:00,24-10-2021,04:50:00,Khulna,Jashore,Sharsha,Benapole,,"Sadipur Matepara",1,4,4,4,4,4,4,N/A,
595,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,24-10-2021,04:00:00,24-10-2021,04:30:00,Khulna,Jashore,Sharsha,Benapole,,SadipurMatepara,1,4,4,4,4,4,4,N/A,
596,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,24-10-2021,03:30:00,24-10-2021,03:50:00,Khulna,Jashore,Sharsha,Benapole,,"Sadipur Matepara",1,4,4,4,4,4,4,N/A,
597,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,24-10-2021,03:00:00,24-10-2021,03:30:00,Khulna,Jashore,Sharsha,Benapole,,"Sadipur Matepara",1,4,4,4,4,4,4,N/A,
598,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,24-10-2021,11:30:00,24-10-2021,11:50:00,Khulna,Jashore,Sharsha,Benapole,,"Sadipur Schoolpara",1,4,4,4,4,4,4,N/A,
599,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,24-10-2021,11:00:00,24-10-2021,11:30:00,Khulna,Jashore,Sharsha,Benapole,,"Sadipur Schoolpara",1,4,4,4,4,4,4,N/A,
600,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,24-10-2021,10:30:00,24-10-2021,10:50:00,Khulna,Jashore,Sharsha,Benapole,,"Bro achra Matepara",4,4,4,4,4,4,4,N/A,
601,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,24-10-2021,10:00:00,24-10-2021,10:30:00,Khulna,Jashore,Sharsha,Benapole,,"Bro achra Matepara",4,4,4,4,4,4,4,N/A,
602,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,24-10-2021,09:00:00,24-10-2021,09:20:00,Khulna,Jashore,Sharsha,Benapole,,"Bro achra Dokinpara",4,4,4,4,4,4,4,N/A,
603,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,24-10-2021,08:00:00,24-10-2021,09:00:00,Khulna,Jashore,Sharsha,Benapole,,"Bro achra Dokinpara",4,4,4,4,4,4,4,N/A,
604,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,21-10-2021,04:30:00,21-10-2021,04:50:00,Khulna,Jashore,Sharsha,Benapole,,"Namazgram Uttarpara",2,4,4,4,4,4,4,N/A,
605,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,21-10-2021,04:00:00,21-10-2021,04:30:00,Khulna,Jashore,Sharsha,Benapole,,"Namazgram Majpara",2,4,4,4,4,4,4,N/A,
606,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,21-10-2021,03:30:00,21-10-2021,03:50:00,Khulna,Jashore,Sharsha,Benapole,,"Namazgram Majpara",2,4,4,4,4,4,4,,
607,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,21-10-2021,03:00:00,21-10-2021,03:30:00,Khulna,Jashore,Sharsha,Benapole,,"Namazgram Majpara",2,4,4,4,4,4,4,N/A,
608,Sharsha,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,21-10-2021,11:30:00,21-10-2021,11:50:00,Khulna,Jashore,Sharsha,Benapole,,"Namazgram Utterpara ",2,4,4,4,4,4,4,N/A,
609,Sharsha,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,21-10-2021,11:00:00,21-10-2021,11:30:00,Khulna,Jashore,Sharsha,Benapole,,"Namazgram Uttarpara",2,4,4,4,4,4,4,N/A,
610,Jhikargasa,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,27-10-2021,16:05:00,27-10-2021,16:30:00,Khulna,Jashore,Jhikargacha,,"Ship bari Shiv Mandir ",Parbazar,8,4,4,4,4,4,4,,
611,Jhikargasa,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,27-10-2021,15:30:00,27-10-2021,16:05:00,Khulna,Jashore,Jhikargacha,,"Shiv Bari Shiv Mandir ",Parbazar,8,4,4,4,4,4,4,,
612,Jhikargasa,DCBTN-CIFF,,01-11-2021,"Community Meeting",0000,October,27-10-2021,14:35:00,27-10-2021,15:00:00,Khulna,Jashore,Jhikargacha,,"Commissioner Para Abdul Hamid bari",Parbazar,8,4,4,4,4,4,4,,
613,Jhikargasa,DCBTN-CIFF,,01-11-2021,"Interactive Popular Theatre Show (IPT)",0000,October,27-10-2021,14:00:00,27-10-2021,14:35:00,Khulna,Jashore,Jhikargacha,,"Commissioner para Abdul Hamid bari",Parbazar,8,4,4,4,4,4,4,,
614,Sharsha,DCBTN-CIFF,,31-10-2021,"Community Meeting",0000,October,21-10-2021,10:30:00,21-10-2021,10:50:00,Khulna,Jashore,Sharsha,Benapole,,"Namazgram Matepara",2,4,4,4,4,4,4,,
615,Sharsha,DCBTN-CIFF,,31-10-2021,"Interactive Popular Theatre Show (IPT)",0000,October,21-10-2021,10:00:00,21-10-2021,10:30:00,Khulna,Jashore,Sharsha,Benapole,,"Namazgram Matepara",2,4,4,4,4,4,4,N/A,
616,Sharsha,DCBTN-CIFF,,31-10-2021,"Community Meeting",0000,October,21-10-2021,09:00:00,21-10-2021,09:20:00,Khulna,Jashore,Sharsha,Benapole,,"Chotoachara Purbopara ",8,4,4,4,4,4,4,N/A,
617,Sharsha,DCBTN-CIFF,,31-10-2021,"Interactive Popular Theatre Show (IPT)",0000,October,21-10-2021,08:30:00,21-10-2021,09:00:00,Khulna,Jashore,Sharsha,Benapole,,"Chotoachara Purbopara ",8,4,4,4,4,4,4,N/A,
618,Sharsha,DCBTN-CIFF,,31-10-2021,"Interactive Popular Theatre Show (IPT)",0000,October,13-10-2021,11:00:00,13-10-2021,11:30:00,Khulna,Jashore,Sharsha,Benapole,,"Kaguspur Dokinpara",4,4,4,4,4,4,4,N/A,
619,Sharsha,DCBTN-CIFF,,31-10-2021,"Community Meeting",0000,October,14-10-2021,04:30:00,14-10-2021,04:50:00,Khulna,Jashore,Sharsha,Benapole,,"Voberber Probopara ",6,4,4,4,4,4,4,N/A,
620,Sharsha,DCBTN-CIFF,,31-10-2021,"Interactive Popular Theatre Show (IPT)",0000,October,14-10-2021,04:00:00,14-10-2021,04:30:00,Khulna,Jashore,Sharsha,Benapole,,"Voberber Probopara ",6,4,4,4,4,4,4,N/A,
621,Sharsha,DCBTN-CIFF,,31-10-2021,"Community Meeting",0000,October,14-10-2021,03:30:00,14-10-2021,03:50:00,Khulna,Jashore,Sharsha,Benapole,,"Voberber Linepara",6,4,4,4,4,4,4,N/A,
622,Sharsha,DCBTN-CIFF,,31-10-2021,"Interactive Popular Theatre Show (IPT)",0000,October,14-10-2021,03:00:00,14-10-2021,03:30:00,Khulna,Jashore,Sharsha,Benapole,,"Voberber Linepara",6,4,4,4,4,4,4,N/A,
